country_name,country_code,edu_2001,edu_2002,edu_2003,edu_2004,edu_2005,edu_2006,edu_2007,edu_2008,edu_2009,edu_2010,edu_2011,edu_2012,edu_2013,edu_2014,edu_2015,edu_2016,edu_2017,edu_2018,edu_2019,income_group,university_count,tuition
"Iran, Islamic Republic of",IRN,5080000000,5830800000,6791400000,8626000000,10192600000,12688200000,15724800000,15980400000,16806400000,20015700000,21296264907,19422027846,14630800000,12412400000,10317963502,13490836246,16149374949,11061560878,9641495630,Low income,311,Standard
Iraq,IRQ,1652251227,1488738946,1009507359,1687295189,2089673756,2833354142,3945428674,6210000000,5290000000,6440000000,8556000000,10074000000,10764000000,10442000000,7590000000,7590000000,8556000000,10396000000,10764000000,High income,109,Standard
Iceland,ISL,482239185.6,616007180.8,783477646.1,905508726,1122868931,1125491666,1389587823,1176533552,880203058.6,896317316,982838857.6,1053984747,1137786227,1281719745,1234479272,1475424001,1789560107,1861221507,1839462256,High income,7,Free
Israel,ISR,7950000000,7488000000,7698200000,7682400000,7910100000,8639400000,9540700000,11480700000,10840200000,12305000000,13908300000,13324566786,15613263880,16361096833,15973408913,16919600960,19372071964,20469639781,21731842770,High income,38,Standard
Italy,ITA,51272000000,52959000000,67196000000,75060000000,74028000000,84084000000,86632000000,1E+11,93951000000,87756000000,89997000000,81295269453,83858173262,83479485535,71224626783,69186340360,77668386718,83187967500,80033921338,High income,86,Standard
Jamaica,JAM,464116670.5,473913305.1,378272076.2,382725661.1,501963501.7,524994642.6,549851333.6,800295455.8,690588549.8,792826021.7,895458230.1,921731627.5,873450728.1,835090054,755960058.3,728155614.7,757270966.2,834975907.3,804041989.7,High income,6,Standard
Jordan,JOR,376638943.8,391880815.6,412888478.9,460046324.2,500927776.9,591559230.8,663616203.8,851371033.1,904071892.3,960266197.6,1025720900,1076112667,1153901234,1209746719,1243463243,1265763265,1261585227,1148221148,1163160261,High income,30,Standard
Japan,JPN,1.32E+11,1.27E+11,1.39E+11,1.5E+11,1.46E+11,1.36E+11,1.37E+11,1.52E+11,1.61E+11,1.8E+11,1.97E+11,2.03E+11,1.66E+11,1.5E+11,1.31E+11,1.39E+11,1.37E+11,1.4E+11,1.43E+11,High income,716,Standard
Kazakhstan,KAZ,696146532.2,694560911.1,760205005.1,915768485.4,1213023957,1959128965,2729212701,3114519700,3203753395,4642719109,6291577917,7449874974,7727894600,7155421308,4953417995,3914629090,4401001180,4469542866,4526479718,High income,105,Standard
Kenya,KEN,656047739.1,755517161.8,897571127.4,1011467728,1215687558,1710161374,1972468805,2065737291,1967168901,1944800089,2078467401,2625885528,2844350769,3030017914,3077920856,3594666339,3922081797,4422957901,4819176837,Low income,63,Free
Kyrgyzstan,KGZ,49991158.25,68105096.58,80965552.72,95135499.78,113388675.6,144318368.5,214993391.7,262942639.9,268265404.2,260825877.9,395475040.9,461449723.3,439604954.9,358028388,337041257.3,368975487.3,395000653.4,432110649.5,435968938.8,Low income,61,Standard
Cambodia,KHM,65324784.12,69161595.09,75137802.3,85310424.6,99294555.34,114192844,135515442.4,167311891.6,173261571.2,172432891.9,193724642.4,219375800.3,312256050.2,317172889.3,339602807.1,376550428.1,416872766.9,459260771.3,511577034.8,Low income,49,Standard
Kiribati,KIR,6656742.529,7055366.183,8310740.644,9114583.394,9700695.611,9429093.373,11546920.76,12525415.2,11147309.86,13945035.47,15424169.09,17567665.72,18574031.4,20625120.06,21485872.94,19396347.1,21858593,22385694.51,22898919.21,Low income,0,No College
Saint Kitts and Nevis,KNA,16706546.55,16700204.08,16957531.24,18860334.33,19407277.54,21055252.59,21791077.29,23915620.61,23990118.49,24745416.16,26876892.81,26680236.3,28553626.68,29590727.5,30133501.66,33596568.58,35775549.45,36483074.24,39501693.44,High income,2,Standard
"Korea, Republic of",KOR,16138666667,19062500000,23450000000,28591200000,31737600000,39165000000,43290000000,42000000000,37020600000,46488489176,52352428456,53019000000,62968206910,68476959696,68189405683,70044899715,75611381812,80250116892,77466875844,High income,189,Standard
Kuwait,KWT,2100245498,2227516288,2817956376,3068552290,3604122740,3668500000,4051300000,5040200000,3604700000,3987500000,5199700000,5837700000,5965300000,5678200000,4051300000,3891800000,4434100000,5008300000,4912600000,High income,5,Standard
Lao People's Democratic Republic,LAO,18525921.41,19987819.95,25211417.91,33133212.55,28033121.73,36114866.31,47384777.56,63274872.14,72322515.38,99572212.01,121495584.4,134869305.3,330972126.6,331699412.9,360220055.7,397943078.4,422553504.6,451948747.6,464465975.2,Low income,1,Standard
Lebanon,LBN,483333159.2,471671957.2,434964265.8,531013843.6,532482912.5,572079134.2,595836337.8,496470174.6,555747350.3,553857088.8,567534910.2,784589432.9,978979188.2,999966222.8,1040129963,1062064595,1115426999,1154204832,1078034449,Low income,35,Standard
Liberia,LBR,29005661.61,29306895.36,22673313.81,27620467.56,29752507.5,35972396.28,44973716.31,57330240,59416436.34,66560756.34,83197480.32,92584970.4,105250788.4,105871063.2,107862970.6,114097557.4,113013974.1,109278625.7,108549550,Low income,9,Standard
Saint Lucia,LCA,42936862.43,41225442.78,41958070.31,41792383.75,50032227.69,53057833.83,56304192.51,61600165.72,58933331.85,60492563.69,65555600.23,62540597.41,77282619.65,69891939.78,61753748.87,62893176.42,65217181.96,64643468.91,66352978.95,High income,0,No College
Sri Lanka,LKA,365888495.7,372486882.7,413330933.8,435933796.5,494846776.5,550716571.6,606783496,722623460.6,723506110.8,953846379.7,1085971825,961254231.5,943193109.5,1230786607,1450271103,2018292670,1957926304,1402287844,1336860058,Low income,16,Free
Lesotho,LSO,89340118.73,73912536.29,143643447,163550337.6,189519948.2,207961890.5,222733698.6,232796393.4,214955841.9,259015189.9,267592820.4,240283316.3,216172778.8,206554143.5,191048286.5,165263750,171069337.8,176806563.7,166040152.9,Low income,2,Standard
Lithuania,LTU,700178553.3,804205756.6,917394277.5,1104636413,1186020725,1318593702,1618094279,2103087205,2006573730,1816966963,1966641253,1787628849,1866544253,1873616720,1533318325,1604181592,1716919708,1946510670,1973883567,High income,36,Standard
Luxembourg,LUX,738481736.7,780149748.8,953452728.4,1271946830,1398055749,1416335091,1828582093,1937444679,1478313858,1649448792,1866904800,2029570335,2128254537,2336786041,2039748061,2001623381,2082370562,2239196530,2062713297,High income,1,Standard
Latvia,LVA,424107562.3,463133046.4,542613071.2,639363007.6,734163178.1,883997986.7,1217381044,1619748012,1273438919,1054060488,1222147926,1623660824,1846817080,1358332763,1214615238,1185476401,1176512933,1313128971,1310855358,High income,27,Standard
Macao,MAC,178454825.4,190999676.4,210626285.3,217572376.6,256834075.2,313958503.5,445981631.2,473552806.1,514289091.1,548010922,605558833.7,712494674.5,889872804.9,987535296,1227892095,1284513729,1264623031,1225471769,1224483536,High income,8,Standard
Morocco,MAR,2052513418,2287194293,2774091357,3129875230,4334483190,3549618901,4095453047,4800165671,4764010872,4780500879,5182349349,5006678411,5460000000,5616000000,5160724271,5252000000,5616000000,6032000000,6136000000,Low income,37,Standard
"Moldova, Republic of",MDA,86715485.53,100724950.7,123331575.1,166611239.9,193538172.1,219821247,330541850.9,434186788,484371405.3,577499053.4,663594982.8,665399682.3,514610296.8,630296943.8,415739845,413255633.8,476395017.2,550626380.3,577536208.2,High income,21,Standard
Madagascar,MDG,123841887.5,120863992.1,146618510.3,122852365.6,153174424.9,149343917.2,258515909.4,280903450.2,250874149.7,256175294.7,292900853.6,302905034.5,250769690.7,254331900.2,227741337.9,237780890.2,266585878,278517946.2,282801798.9,Low income,6,Standard
Maldives,MDV,32916717.3,36603406.86,45548823.26,47002101.95,48922377.32,71537480.79,79449942.57,106365634.1,118871397.2,92861215.9,84263522.39,145601036.9,110949388.2,113384608.4,158218440.7,160295211,174323899,191442152.8,200972327.6,High income,1,Standard
Mexico,MEX,32171900000,34838100000,36659200000,36391200000,41661500000,45024000000,48307000000,52102000000,45046500000,52605000000,58464000000,59028727324,57021415677,66417796815,59312486980,51241461284,51145161280,53860833560,55671281747,High income,540,Standard
Marshall Islands,MHL,10423584.15,10907407.35,11544481.54,12276083.53,13647306.62,14486285.53,15998997.06,16534567.82,17242024.22,18517183.16,20635506.01,21313624.75,23448414.71,24976018.38,28114385.05,30770104.07,33038282.66,35076141.62,37715296.5,High income,0,No College
"Macedonia, the former Yugoslav Republic of",MKD,135406976,129850921.5,159717886.5,184597092.8,201003642.2,223371807.2,259767147.8,319994354.9,305125723.2,303202938.6,336911611.1,311639041.6,345215330.3,364443771.1,318609472.8,334969201.4,354955018,397173686,393044662.5,High income,15,Standard
Mali,MLI,105999367.7,107071385.7,141169381.7,184526406.1,212635038.8,239336431.7,282863231.3,319073419.1,341761850.6,388184368,556455967.2,517613378.7,509839309.2,615120362.5,479136065.9,418389294.7,564989219.9,629448347.1,633628544.2,Low income,10,Standard
