country_name,country_code,gpc_2001,gpc_2002,gpc_2003,gpc_2004,gpc_2005,gpc_2006,gpc_2007,gpc_2008,gpc_2009,gpc_2010,gpc_2011,gpc_2012,gpc_2013,gpc_2014,gpc_2015,gpc_2016,gpc_2017,gpc_2018,gpc_2019
Kuwait,KWT,16587.25,17846.38,22148.38,27011.65,35591.04,42781.56,45782.15,55494.93,37561.73,38577.5,48631.78,51979.12,49388.05,44062.34,29869.55,27653.16,29759.47,33399.06,32373.25
Kyrgyz Republic,KGZ,308.41,321.73,380.51,433.23,476.55,543.11,721.77,966.39,871.22,880.04,1123.88,1177.97,1282.44,1279.77,1121.08,1120.67,1242.77,1308.14,1374.03
Lao PDR,LAO,326.94,320.06,362.82,417.93,475.61,591.0,710.38,900.74,949.18,1141.24,1378.5,1581.63,1831.94,1999.96,2140.04,2324.4,2455.21,2569.09,2613.94
Latvia,LVA,3578.0,4136.93,5145.2,6378.67,7594.9,9723.45,14113.53,16467.14,12331.93,11420.99,13338.96,13847.34,15007.49,15742.39,13786.46,14331.75,15695.12,17865.03,17926.84
Lebanon,LBN,4422.39,4579.46,4576.39,4630.79,4575.11,4626.85,5207.79,6111.33,7354.95,7761.64,7675.31,7948.69,7928.29,7681.66,7643.01,7617.69,7776.03,8003.83,7527.44
Lesotho,LSO,405.61,382.19,573.65,753.38,842.81,904.61,846.54,889.13,874.73,1119.84,1287.27,1229.64,1166.91,1194.58,1146.06,1018.78,1102.63,1192.48,1153.39
Liberia,LBR,306.71,306.47,243.09,286.06,294.89,336.12,396.6,478.4,470.95,513.45,596.9,675.01,747.87,739.91,721.58,740.91,721.09,710.27,672.34
Libya,LBY,6266.49,3703.04,4673.15,5800.59,8163.01,10207.96,11387.09,14311.24,9913.65,12162.67,7709.94,14721.87,11921.91,9017.93,7590.44,7687.88,10205.32,11482.13,10218.04
Liechtenstein,LIE,74287.41,79345.75,89859.87,100289.24,105399.26,114374.25,130655.64,143264.06,126096.61,141192.53,158130.46,149010.22,173030.21,178864.85,167313.27,165642.39,171253.96,176499.4,169049.16
Lithuania,LTU,3525.79,4141.59,5499.43,6700.33,7854.77,9230.71,12285.45,14945.0,11820.78,11987.51,14376.95,14367.71,15729.65,16551.02,14263.96,15008.31,16885.41,19186.18,19575.77
Luxembourg,LUX,48440.14,53005.73,65689.32,76544.92,80988.14,90788.8,107475.32,120422.14,109419.75,110885.99,119025.06,112584.68,120000.14,123678.7,105462.01,106899.29,110193.21,117254.74,113218.71
"Macao SAR, China",MAC,15665.3,16424.93,17921.1,22568.31,25183.13,30121.56,36550.51,40810.83,41010.07,52473.19,66891.28,76572.15,89260.76,93022.88,74818.95,73545.76,81019.47,87526.08,86197.37
Madagascar,MDG,334.44,319.22,368.8,284.49,319.54,338.75,438.66,536.35,467.54,471.96,531.27,518.15,541.07,530.86,467.24,475.96,515.29,518.4,526.22
Malawi,MWI,150.15,298.43,267.4,282.57,289.56,308.16,332.26,387.61,438.21,478.67,534.95,391.56,348.43,371.27,380.6,315.78,506.14,544.59,591.85
Malaysia,MYS,3913.43,4165.73,4461.85,4952.21,5587.02,6209.13,7243.46,8474.59,7292.49,9040.57,10399.37,10817.43,10970.1,11319.06,9955.24,9817.79,10259.3,11380.08,11432.83
Maldives,MDV,3038.78,3049.21,3476.01,3941.43,3640.01,4809.93,5574.4,6614.24,6636.54,7076.74,7291.47,7265.72,7928.48,8499.31,9033.41,9209.44,9577.35,10279.08,10561.61
Mali,MLI,307.71,336.42,393.41,440.96,489.02,523.04,597.48,697.09,701.71,710.27,837.61,778.63,805.03,848.28,751.47,780.72,830.02,894.8,879.04
Malta,MLT,10402.23,11289.89,13669.5,15197.06,15888.17,16723.88,19485.87,22205.36,21083.28,21799.17,23155.55,22527.64,24771.08,26754.27,24921.6,25624.54,28857.02,31573.12,31185.65
Marshall Islands,MHL,2389.06,2515.62,2457.65,2431.17,2471.35,2537.72,2646.87,2704.46,2662.33,2846.07,3046.29,3181.62,3246.63,3185.26,3199.89,3491.0,3672.58,3793.55,4073.11
Mauritania,MRT,646.12,639.67,717.9,803.78,970.84,1259.54,1357.12,1579.51,1389.34,1610.92,1879.77,1815.22,1892.1,1677.11,1524.07,1536.86,1587.86,1669.77,1743.3
Mauritius,MUS,3856.63,4018.95,4793.72,5388.07,5282.91,5695.97,6574.65,8030.06,7318.13,8000.38,9197.03,9291.23,9637.0,10153.94,9260.45,9681.62,10484.91,11208.34,11097.17
