"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","2451668.2121484","2564079.79387377","2548969.56123428","2647680.32117874","2998885.10317964","3055245.5392142","3688096.97665328","5019282.79180906","5839798.1744824","5974157.57901282","6386849.05012385","5192370.83936142","5030430.89224379","4793433.7804477","5668495.92179536","6011522.67900799","6368239.49433768","7616701.30384847","9952751.95792463","12534060.9769863","18697002.912","17848725.14547","20170395.5018001","23590195.6958434","27061823.57116","33770878.309","34247365.4472907","41023712.2964006","38081896.8211","47574340.9434","44530315.7665","56049718.2419","70228655.2616097","84885047.8306876","108332154.712869","130771313.446126","138688823.450328","157245657.379961","156482194.848743","162064311.684969","152680597.188986","",
"Botswana","BWA","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","4012765.93840142","4582518.9515","5427150.6201","7087961.8214","7735331.125","10300000.0002","12276333.9468","16709323.0398","24795822.2652","35254723.9258","41577650.558","49936332.3776772","51592736.8903704","49834442.504","52956446.394","51934169.04","57694641.03","83000059.584","123400415.6","131006234.252966","158443617.298","224672853.45021","221462767.24","249803523.64212","226316796.203006","263515355.473586","257709478.65557","273455229.145508","275397685.37809","320580434.874203","362548440.653027","385344209.679414","366430881.602433","561316699.502408","703000768.900734","846662435.6004","773473105.385394","734464070.208","850367834.88421","950760273.7776","1151564587.2804","1423528438.2168","1342804984.4868","1351011149.4924","1493702157.0864","1312915889.0352","1447086188.6364","1544009397.5028","1608927011.8056","1567354887.9732","1430925409.8564","",
"Central African Republic","CAF","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","7871332.01672411","8360257.62727346","8445298.8585","11265883.4469024","11724356.6940945","15822130.1406","16216550.6256","17734207.3125","18353355.57","27544552.7447468","29585693.9611","30716610.4784","25936725.234","23327673.2208","18103018.7020569","24713950.5799818","24417031.298","29422037.775","28830869.3567529","28152732.4118554","31202015.636","31308901.501","32117839.101","27721406.68","14116426.3553","17510283.728","15571313.2157415","14550128.6336478","14969978.5299789","15689420.157231","14307721.0124784","14708127.9214248","15680884.5337925","18201541.901598","20168624.6986556","21366967.9748","20287247.246","21929333.218","24921971.1745","25255167.5565","24750699.0615","28148678.2365","28995504.921","19627155.248","22016945.6955","19744122.415","21249490.8495","25046257.1","27447570.467","27439270.503","28253062.069","",
"Canada","CAN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","6365418134.16812","6576653252.121","7616000000","8190000000","9699000000","10320000000","12648000000","13312000000","14552000000","15168000000","16554000000","18414000000","19152000000","22244000000","22144000000","21300000000","21594000000","25620000000","29580000000","32332000000","33350000000","36112000000","37818000000","37453000000","39689000000","39195000000","42132104030","43858829605","33465401138.4852","35941635712.334","38948572000.9256","36259000000","36807502557.8658","42518784917.2961","47624247664.3569","53590000000","60125000000","66555000000","67014000000","61830000000","79500000000","86768000000","88740000000","89726000000","87754000000","75429000000","74443000000","80359000000","83317000000","84796000000","80359000000","",
"Central Europe and the Baltics","CEB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16967000000","16403000000","15111985049","12875364884.8975","13093800000","11848757810.305","12188200000","14977800000","18450800000","20253000000","20021400000","20282500000","21576000000","25690600000","25968600000","27348000000","33096600000","32264200000","31580132135.66","32237046458.2934","31116994109.6361","30655082692.4792","30743553349.6003","31230141963.7666","31185906635.2061","32070613206.4176","",
"Channel Islands","CHI","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","346241217.635178","417535774.080803","672281841.333","648732680.836849","592958155.182","271505749.806","414387936.085193","562583382.222372","511532936.112","760621411.224","1236699634.368","1718411658.288","1334071097.757","930424810.15","844693386.288","687266308.3","678133841","656110113.504","721875315.48","697353029.5","752508735.648","860999530.368","1101094233.425","1189783566.7","1415868503.166","1837122590.264","2114948214.316","2552561101.7","2736630323.04743","2650878395.0979","2561749320.9979","2432995859.49235","2466815495.2784","2621454000.9543","3178546835.8232","3763200000","4420000000","5220600000","6637226648.30595","6810300000","8586900000","9764400000","11883000000","12064800000","11914524129.3718","11669037997.2998","12394135021.1635","14037589934.8668","14987502035.7225","14195908618.3428","12771040467.0593","",
"China","CHN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","1491164289.92084","1397213421.072","1710000000","2085000000","2304000000","2608000000","2618000000","2975000000","2700000000","3382000000","3247000000","3332000000","3690000000","4176000000","4437000000","5270000000","5418000000","4368000000","4992000000","5568000000","6465969790","6858929280","6405000000","6660000000","10134000000","12291000000","14467000000","19361421363","20230449480","19332000000","21480000000","23628000000","26134000000","29535000000","34905000000","40633000000","49225000000","63724000000","82698000000","91111000000","108474000000","133892000000","152329000000","169871000000","187950000000","196900000000","200480000000","220170000000","247020000000","254180000000","261340000000","",
"Cote d'Ivoire","CIV","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","68141480.112","86605494.6651692","130633507.665","156332857.2","160566502.338","225176477.76","261223519.414","285330789.937","402361130.373","581736846.299","580830897.84","553720416.2","512942098.716","473558883.952","406374378.304","396625593.924","592514524.671765","643481816.911868","650890513.311095","585820750.865625","644361995.024141","638229688.469199","755158669.188","706570966.382","376971425.1","430544599.687","448931333.96","429109154.955","404442200.678108","452089584.023","383726823.709","392849021.7828","478824168.249","577982686.089","638911372.536","667439218.775","691101443.1056","819614930.2042","994072457.467307","983127968.232857","1055033450.91451","981199045.709522","1085248577.77921","1322136130.16378","1571110618.1232","1506534315.24406","1779925980.08371","1835286675.70041","1778329629.53567","1815497897.66576","1895026820.92449","",
