country_name,country_code,p_2001,p_2002,p_2003,p_2004,p_2005,p_2006,p_2007,p_2008,p_2009,p_2010,p_2011,p_2012,p_2013,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,income_group
Tuvalu,TUV,9478.0,9593.0,9724.0,9871.0,9997.0,10118.0,10219.0,10315.0,10413.0,10521.0,10626.0,10744.0,10849.0,10973.0,11099.0,11232.0,11365.0,11505.0,11655.0,High income
"Tanzania, United Republic of",TZA,34385849.0,35334790.0,36337778.0,37379766.0,38450323.0,39548666.0,40681416.0,41853944.0,43073830.0,44346532.0,45673520.0,47053033.0,48483132.0,49960563.0,51482638.0,53049231.0,54660345.0,56313444.0,58005461.0,Low income
Uganda,UGA,24388974.0,25167261.0,25980547.0,26821300.0,27684590.0,28571475.0,29486335.0,30431734.0,31411096.0,32428164.0,33476772.0,34558700.0,35694519.0,36911530.0,38225447.0,39649173.0,41166588.0,42729032.0,44269587.0,Low income
Ukraine,UKR,48662400.0,48202470.0,47812949.0,47451626.0,47105171.0,46787786.0,46509355.0,46258189.0,46053331.0,45870741.0,45706086.0,45593342.0,45489648.0,45272155.0,45154036.0,45004673.0,44831135.0,44622518.0,44386203.0,Low income
Uruguay,URY,3325471.0,3326046.0,3323661.0,3321486.0,3321799.0,3325403.0,3331753.0,3340221.0,3349676.0,3359273.0,3368926.0,3378975.0,3389436.0,3400439.0,3412013.0,3424139.0,3436645.0,3449290.0,3461731.0,High income
United States,USA,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,301231207.0,304093966.0,306771529.0,309327143.0,311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,High income
Uzbekistan,UZB,24964450.0,25271850.0,25567650.0,25864350.0,26167000.0,26488250.0,26868000.0,27302800.0,27767400.0,28562400.0,29339400.0,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0,Low income
Saint Vincent and the Grenadines,VCT,107893.0,108095.0,108322.0,108520.0,108617.0,108602.0,108516.0,108401.0,108293.0,108260.0,108315.0,108435.0,108624.0,108868.0,109135.0,109467.0,109826.0,110210.0,110593.0,High income
"Venezuela, Bolivarian Republic of",VEN,24646471.0,25100407.0,25551624.0,25996594.0,26432445.0,26850190.0,27247601.0,27635827.0,28031010.0,28439942.0,28887873.0,29360827.0,29781046.0,30042973.0,30081827.0,29851249.0,29402480.0,28887117.0,28515829.0,
"Virgin Islands, British",VGB,20675.0,21128.0,21674.0,22329.0,23106.0,24022.0,25050.0,26096.0,27035.0,27796.0,28326.0,28654.0,28850.0,28985.0,29148.0,29355.0,29567.0,29795.0,30033.0,High income
"Virgin Islands, U.S.",VIR,108549.0,108509.0,108505.0,108466.0,108453.0,108369.0,108337.0,108397.0,108404.0,108357.0,108290.0,108188.0,108041.0,107882.0,107712.0,107516.0,107281.0,107001.0,106669.0,High income
Viet Nam,VNM,80742500.0,81534406.0,82301650.0,83062819.0,83832662.0,84617545.0,85419588.0,86243424.0,87092250.0,87967655.0,88871384.0,89801926.0,90752593.0,91713850.0,92677082.0,93640435.0,94600643.0,95545959.0,96462108.0,Low income
Vanuatu,VUT,189209.0,193927.0,198960.0,204123.0,209282.0,214379.0,219464.0,224700.0,230244.0,236216.0,242658.0,249505.0,256637.0,263888.0,271128.0,278326.0,285499.0,292675.0,299882.0,Low income
Samoa,WSM,175394.0,176410.0,177481.0,178597.0,179722.0,180874.0,182045.0,183270.0,184553.0,185944.0,187469.0,189089.0,190712.0,192220.0,193510.0,194540.0,195358.0,196128.0,197093.0,Low income
Yemen,YEM,17918369.0,18443684.0,18985001.0,19540096.0,20107416.0,20687648.0,21282514.0,21892149.0,22516464.0,23154854.0,23807586.0,24473176.0,25147112.0,25823488.0,26497881.0,27168210.0,27834811.0,28498683.0,29161922.0,Low income
South Africa,ZAF,45571272.0,46150913.0,46719203.0,47291610.0,47880595.0,48489464.0,49119766.0,49779472.0,50477013.0,51216967.0,52003759.0,52832659.0,53687125.0,54544184.0,55386369.0,56207649.0,57009751.0,57792520.0,58558267.0,High income
Zambia,ZMB,10692197.0,10971704.0,11256740.0,11550641.0,11856244.0,12173518.0,12502958.0,12848531.0,13215142.0,13605986.0,14023199.0,14465148.0,14926551.0,15399793.0,15879370.0,16363449.0,16853608.0,17351714.0,17861034.0,Low income
Zimbabwe,ZWE,11923906.0,11954293.0,11982219.0,12019911.0,12076697.0,12155496.0,12255920.0,12379553.0,12526964.0,12697728.0,12894323.0,13115149.0,13350378.0,13586710.0,13814642.0,14030338.0,14236599.0,14438812.0,14645473.0,Low income
